,input,actual,predicted
1007,"...-la-e
"," was not accepting  
","lancet
"
1008,"a2-bi hu-mu-da-an-ag2-esz
","they issued orders to me 
","its labor 21n days
"
1009,"ur-gir15-re ur3-...
","A dog the roofto drag 
","The dog
"
1010,"mu us2-sa {d}szu-{d}suen lugal uri5{ki}-ma-ke4 bad3 mar-tu mu-ri-iq-ti-id-ni-im mu-du3
","xxx 
","xxx
"
1011,"1(disz) a-tu
","1 Atu
","1 Atu
"
1012,"me-lam2-kisz{ki} dumu en-me-nun-na-ke4
","Melamkish son of Enmenuna 
","The muller grinds on the city
"
1013,"sze si-bi
","and their barley loaders 
","Its grain is of its horn
"
1014,"{d}inanna
","For Inanna 
","For Inanna
"
1015,"lugal an ub-da limmu2-ba
","king of the four quarters
","and king of the four world quarters
"
1016,"{d}szu-{d}suen
","Suen
","Suen
"
1017,"geme2-{d}nin-gal
","GemeNingal 
","GemeNingal
"
1018,"ba-zi
","lifted 
","booked
"
1019,"u4 sag-ge6-ga a2 bi2-ib-la2-a re
","the storm which pinioned the arms of the blackheaded people 
","The storm that annihilates the Land roars below the people groan
"
1020,"lugal lagasz{ki}-ke4
","king of Laga 
","king of Laga
"
1021,"kur {gesz}esi-a-ka
","from the ebonyland 
","beer mash
"
1022,"lugal ki-en-gi ki-uri-ke4
","king of Sumer and Akkad 
","and king of Sumer and Akkad
"
1023,"lu2-tu15 ... x ...
","Idiot who attempts to remove parasites and is dying from hunger 
","Idiot liar who plunders by means of lies
"
1024,"dam lugal-an-da
","wife of Lugalanda 
","wife of Lugalanda
"
1025,"a. szurum-bi szu ba-e-ti
","Its dung in hand was taken 
","the beans
"
1026,"lu2-sa6-ga
","Lusaga 
","to Lusaga
"
1027,"{d}szu-{d}suen
","Suen
","Suen
"
1028,"1(u) 4(disz) udu
","14 sheep 
","14 sheep
"
1029,"da-gi4-a
","when by the district
","the district authorities
"
1030,"{d}mu-ul-lil2-le i3-sa6 he2-am3-bi sza3-gu10 ba-ra-bi2-in-sze17
","Enlil did not soothe my heart with an It is good  so be it 
","Enlil did not soothe my heart with an It is good so be it
"
1031,"za-e sa2 du11-sze3 mu-e-da-gid2-de3
","You can then be accepted as a regular offering 
","You can then be accepted as a regular offering
"
1032,"... im-ta-zu x ki-ta-zu
"," am I above you or am I below you 
","below you or am I above you
"
1033,"... za-e u3-mu-un-bi de3-me-en ga-sza-an-bi de3-me-en ...
"," you shall be its lord I shall be its lady  
","The citys lord has looked at the rebels the mountain
"
1034,"mu-na-an-gub
","he set up for him
","he set up for him
"
1035,"lu2-{d}szara2
","xxx 
","Luara
"
1036,"pisan-dub-ba
","Basketoftablets 
","Basketoftablets
"
1037,"mu-bi-im
","being its name  
","is its name
"
1038,"nita kal-ga
","the mighty man 
","the mighty man
"
1039,"...-gu-u2 x x x ...
","And the prince  
","The firmament
"
1040,"2(disz) gukkal 1(disz) masz-da3
","2 fattailed rams 1 gazelle 
","2 fattailed sheep 1 gazelle
"
1041,"...-GIR2 a-a szu-ru-ub-ba {gesz}szukur a-a hab2-ba szu-ni gesz gur5-ra eme-a-ni e2-gal-la
","They were thornbushes that are  in the water lancespoints that are fetid in the water his hand chops trees his tongue is ofin the palace 
","The anzam containers were sitting idle Dumuzi was no longer dwelling she weeps bitterly
"
1042,"...-IN-SI-na {d}urasz-e tu-da sza3-ta nam-gal-sze3
","Ninisina given birth to by Ura from the womb towards greatness 
","Magic everything involving the face of a southern wind tore out from the heartwombinnardsstomach
"
1043,"nam-ti
","for the life 
","for the life
"
1044,"gir2-su{ki}-ta
","xxx 
","from Girsu
"
1045,"1(disz) masz2
","1 billy 
","1 billy goat
"
1046,"{d}ur-{d}namma-ke4 ni2 he2-eb-szi-ib2-te-en-te
","UrNamma refreshes himself 
","UrNamma knew well
"
1047,"dub gid2-da
","xxx 
","xxx
"
1048,"iti amar-a-a-si
","month Amarayasi 
","month Amarasi
"
1049,"an-ta-sur-ra
","from the Antasura 
","the Antasura
"
1050,"sipa zi ur-{d}namma ba-ra-ab-e3 sipa zi ba-ra-ab-e3
","It made UrNamma the trustworthy shepherd pass away it made the trustworthy shepherd pass away 
","The righteous shepherd UrNamma and made it pass away
"
1051,"mu en-unu6-gal ba-hun
","xxx 
","year Enunugal was hired
"
1052,"e2-an-na-tum2
","Eannatum 
","Eannatum
"
1053,"x x x he2-na-ab-szum2-mu
","May he give life to him 
","may he give
"
1054,"szal-la-su-nu bu-sza2-szu-nu nam-kur-szu-nu
","and their booty possessions property I brought out 
","Take Care of Me
"
1055,"dumu a-da-ta
","son of Adata 
","son of Sagazu
"
1056,"giri3 kas4
","via Kas 
","via Kas
"
1057,"ARAD2-zu
","is your servant
","is your servant
"
1058,"3(ban2) 8(disz) u4 1(u) la2 1(disz)-kam
","3 ban2 8 sila3 9th day 
","3 ban2 8 sila3 9th day
"
1059,"ar2-mur-ra e2-gu10 ha-ba-du3-a uru2-gu10 ha-ba-gul-la
","Whose house has been made into ruins 
","Women did not carry the earth baskets for it
"
1060,"mu bad3 ba-du3
","year The Wall was built 
","year mine
"
1061,"1(u) gin2 i3-gesz
","1 shekels plant oil 
","1 shekels oil
"
1062,"{d}en-lil2-la2
","of Enlil 
","of Enlil
"
1063,"mu-tu
","he created 
","he created
"
1064,"1(iku) GAN2-bi
","1 iku its field 
","1 iku its field
"
1065,"am3-mi-in-gub-bu-ne am3-mi-in-gub-bu-ne
","They shall place him they shall place him 
","They shall place
"
1066,"ur2-zu5
","with your roots 
","lancet
"
1067,"e2-a-ni
","her temple 
","his temple
"
1068,"{nu}nunus-gen agrun-ku3 e2 na-ag2-{d}ga-sza-an-na-gu10
","To me the woman in the Agrunkug my house of queenship 
","I am the woman occupying the house and the house
"
1069,"i3 kux(KWU147) ga kux(KWU147)
","oil deliveries milk deliveries 
","The anzam containers were sitting idle that was no longer dwelling there
"
1070,"{d}lal3-bur-du10-ga
","For Lalburduga 
","lancet
"
1071,"ensi2 umma{ki} mu-kux(DU) a2-ki-ti sze-sag11-ku5-ka ...
","of the governor in Umma delivery for the Akitu in the month Harvest  
","governor of Umma delivery and the people wailed
"
1072,"1(disz) udu niga a-mur-dingir
","1 sheep barleyfed for Amuril 
","1 sheep grainfed breeder
"
1073,"ur2-bi-a {uruda}gi2-dim ba-an-gar
","He set the gidim implement into its base 
","57 lines
"
1074,"ma2 szu du7-a
","a properly equipped boat 
","The boats of perfect
"
1075,"...-mah
","ma
","Thus my power was exalted in the exalted place
"
1076,"ki ur-ru-ta
","from Urru 
","from Urru
"
1077,"|GIN2.SZE3| be2-se3
","was defeated 
","he defeated
"
1078,"5(disz)
","Princely son emerged from the pure  spending time  his horn  
","Princely son emerged from the pure spending time his horn
"
1079,"n gin2 ku3-babbar al-la kuruszda uri5{ki}-ma
","n shekels silver from Alla fattener in Ur 
","n shekels of silver and Ur the fattener
"
1080,"ki-ag2 {d}en-lil2-la2
","beloved of Enlil
","the beloved of Enlil
"
1081,"al mu-na-du3
","he dug for him 
","he dug
"
1082,"lugal-gu10 sza3-ga-ni im-si er2 gig ...
"," my kings heart was full of tears he  bitterly 
","My king has filled its heart and playgrounds
"
1083,"i3-gal2
","are here 
","are here
"
1084,"tug2 szu-du8-ur3
","a holding garment 
","infected by lice
"
1085,"1(disz) ($ blank space $) PAP = %a a-sza-re-du
","62 lines in this column
","62 lines in this column
"
1086,"x ga2-e e-ne-ne-gin7 kin2-gi4-a gi4-gi4 in-nu-u3
"," I like them do not dispatch someone with a task like them 
","In order to admiresee the grain goddess Ezina of lordship
"
1087,"e2 ...
"," is a taboo of  a deity 
","the temple
"
1088,"i3-gal2
","are here 
","are here
"
1089,"{d}nin-gir2-su2-ka
","of Ningirsu 
","of Ningirsu
"
1090,"sza3 ki-nu-nir{ki}
","xxx 
","xxx
"
1091,"sanga
","ang priest 
","the administrator
"
1092,"tukum-bi gu4 udu ansze szah2 e2 |LAGABxU|-a iri-ka u2-gu ba-de2
","If an ox a sheep a donkey or a pig has been lost among the houses or in a wellpit of a city
","If a bull has approached the oxen and sheep siskur2offerings
"
1093,"3(u) 8(asz) ziz2 gur
","38 gur emmer 
","38 gur emmer
"
1094,"sag sahar-ra ki ba-ni-ib-u2-us2 lu2 zi-zi la-ba-tuku
","Their tops lay in the dust there was no one to raise them 
","Its top was lodged in the ground a person to raise it was not available
"
1095,"KU-e dumu a2-gal-la-ke4
","Kue  the son of Agal 
","Amaalim son of KUe
"
1096,"in-du3-a
","he who built  
","built
"
1097,"a ku3-ge-da naga sikil-e-da
","That he Kindazi might clean with water scrub with soap
","That the weaned young of potash
"
1098,"8(disz) udu ...
","8 sheep  
","8 sheep
"
1099,"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 nin10-nu-du3 a-ra2 2(disz)-kam
"," workdays at the field Ninnudu the second 
","workdays at the field Ninnudu
"
1100,"min3-na-ne-ne
","The two of them
","lancet
"
1101,"ki(SZE3)-a-nag-ba um-mi-gub-en me-te-asz ...
","After you stand in the place of libations for the dead you shall be established as something appropriate 
","The priestsmith Nintukalamma
"
1102,"ARAD2-zu
","is your servant 
","is your servant
"
1103,"{gesz}alal-bi im-ma-ra-an-zil(NUN)-zil(NUN)
","He ripped out its drain pipes 
","LuItaran
"
1104,"{d}inanna
","For Inanna 
","For Inanna
"
1105,"3(u) 1(disz) geme2 3(ban2)-ta
","31 female workers 3 ban2  3 sila3 each 
","31 female workers 3 ban2 3 sila3 each
"
1106,"iti 1(disz)-kam
","of the 1st month
","a period of 1 month
"
1107,"gesztu2 dagal
","through his broad wisdom 
","the wide wisdom
"
1108,"alan-na-sze3
","and into this stone figure 
","and into this stone figure
"
1109,"GAN2-zu-am3 pu2 na-ni-... ug3-e szi-ri-ib-hul
","Do not construct a wellcistern in your field the people will destroy it for you 
","Do not dig a wellcistern in the field the people groan
"
1110,"...-x ... at-ti
","You are  
","You are
"
1111,"{d}nin-hur-sag-ka-ma-ri2{ki}
","for NinursagKamari
","lancet
"
1112,"dumu ur-e2-nun-na
","son of UrEnunna 
","Foreman UrEnunna
"
1113,"u4 3(u) la2 1(disz)-kam
","the 29th day
","29th day
"
1114,"dug sza hu-la-lim
","a pot of chalcedony 
","a jar of the sound
"
1115,"e a-sza3 ugur2-tur a-sza3 la2-mah ba-a-si
","dikes of the field Ugurtur and the field Lama filled 
","field Ugurtur
"
1116,"7(disz) geme2 a2 1/2(disz) 3(ban2)
","7 female laborers halflabor 3 ban2 monthly rations each 
","7 female laborers halflabor 3 ban2 monthly rations each
"
1117,"{d}ba-ba6
","of Baba 
","For Baba
"
1118,"dingir zi me gal-la sag-bi il2-la ...
","True deity with head held high amongst the great me  
","steadfast goddess whose great divine powers were raised
"
1119,"ne-ni-ib2-zu
","Nenibzu
","lancet
"
1120,"mu-du3
","he built 
","he built
"
1121,"1(disz) ur-{d}ba-ba6 gaba-ta
","1 UrBaba  
","for 1 frontier
"
1122,"GUR8 i3-gu7
","I shall exploit as an interestbearing loan 
","I shall exploit as an interestbearing loan
"
1123,"ki-en-gi ki-uri
","of Sumer and Akkad 
","in Sumer and Akkad
"
1124,"e2-sar
","To the Esar temple
","For the Esar temple
"
1125,"{d}alad e2-zu igi bar lu2 sa6-... a2-zu ga2-la ...
","The look of the alad spirit of your temple betters a person  you arms are idleopen 
","May your beloved male donkey do not be touched for you
"
1126,"dumu ur-sag gal
","Property of Bluallim 
","son of the great champion
"
1127,"sag-dingir-tuku-sze3
","of Sagdingirtuku 
","lancet
"
1128,"...-zi x ku3-ge mu2-a szu ba-e-lal-lal
","The gizi reed that grew in the holy  were actively diminished 
","was actively diminished it set in the holy enclosure
"
1129,"sza13-dub-ba e2-gal an-ki-a kinx(UR4) kilib3-ba szid-szid
","Archivist of the palace of the universe counting up all of the tasks 
","Archivist of the palace of the universe counting up all of the tasks
"
1130,"{tu15}dal-ha-mun-na edin giri3 an-ta
","A tornadodust storm above ones path in the steppe 
","ruler from above
"
1131,"dumu-sag {d}en-lil2-la2
","firstborn son of Enlil 
","firstborn son of Enlil
"
1132,"7(disz) geme2 a2 1/2(disz) 3(ban2)
","7 female laborers halflabor 3 ban2 monthly rations each 
","7 female laborers halflabor 3 ban2 monthly rations each
"
1133,"i3-gal2
","are here 
","are here
"
1134,"geszkim-mu ha-mu-u3-zu
","I will teach you my sign 
","but my sign
"
1135,"a-na bi2-in-ak-bi
","For what he had done there  
","The aur and mansim sieves compete to see
"
1136,"iti {d}dumu-zi-sze3
","to month Dumuzi 
","xxx
"
1137,"gidri ug3 gur2-gur2
","and a scepter which makes the people bow down  
","seedbarley
"
1138,"me-te nam-en-na
","suited to the office of en priest 
","suited to the office of the en priest
"
1139,"u4 szuszin{ki}
","when Susa he
","when in Susa
"
1140,"{d}en-lil2-le e2 zi gul-gul-lu-de3 lu2 zi tur-re-de3
","Enlil to destroy the loyal households to decimate the loyal men 
","Enlil in order for Enlil to destroy the true temple and diminish the true man
"
1141,"nam-si-sa2-ga2 gidri ma-an-szum2
","For my rectitude he gave me the scepter 
","Manum the stone bowl cutter
"
1142,"a-sza3-bi en-nam
","its surface area is what 
","a type of wood or plant
"
1143,"{d}iszkur en u4 husz ... u4 gal an-ki
","Ikur the lord the furious storm  great storm of heaven and earth  
","For Ikur the lord of the Great Mountain Enlil
"
1144,"lu2 lu2-u3 za3 in-ne-...
","One has rejected the other cursed the other insulted the other 
","Did you see the man who was overtaken by the curse of his mother and father How is he found there
"
1145,"ur zu x IGI IM x gi
","The temple that was remote in its being 
","like a pouring reed
"
1146,"a-nu-zu
","Anuzu 
","lancet
"
1147,"mu-du3
","he built 
","he built
"
1148,"sipa zi inim gi-na
","the righteous shepherd with just words 
","righteous shepherd and true words
"
1149,"mu-du2
","he had it formed 
","he formed it
"
1150,"dumu nin-gan
","daughter of Ningan 
","son of Sagazu
"
1151,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
1152,"sahar gal-ta suhusz-bi
","and with much earth its foundation
","superior to the dust
"
1153,"lagasz{ki}-ka-sze3
","of Laga 
","of Laga
"
1154,"e2-udu-niga gir2-su{ki}
","house of fattened sheep of Girsu 
","grainfed sheep
"
1155,"lugal uri5{ki}-ma
","king of Ur 
","king of Ur
"
1156,"... x ur-ra-ba
","Itsthe  of a dogstranger is  
","Noses were punched heads were smashed
"
1157,"a-sza3-ta e11-da-bi
","xxx 
","When Inanna ascended from the netherworld
"
1158,"ki lu2-da nu-u6-di hasz2 gal mu-un-hur
","The place unseen when with a man she scratched her inner thigh 
","In private she scratched her buttocks for her
"
1159,"e2 iri ku3-ga-ka-ni
","her temple of the Holy City 
","her temple of the Holy City
"
1160,"mu-ni-gi4
","he returned to him 
","he returned
"
1161,"nam-ti-mu-sze3
","for my life 
","for my life
"
1162,"... dam-ni x ... x ...
","She tore out rushes she cut rushes 
","His wife
"
1163,"udu gukkal gub-ba
","sheep fattailed sheep stationed 
","xxx
"
1164,"... x-e dingir a-ba-a ...-gu10 mu-...
"," which god  
","My god has built you with this instruction and
"
1165,"gurum2-ak
","inspections 
","inspections
"
1166,"dub-sar
","scribe 
","scribe
"
1167,"... x-te ulu3{+lu}-da im-mi-dul
","I approached the shade but it was covered by lit along with a southern storm 
","donated by Lugalbi
"
1168,"u4-sakar gibil-gin7 men bi2-il2
","Raising the crown like the new moon 
","Like a new moon emerging in the plain for him
"
1169,"...-du3{muszen}-e {gi}dub-ba-an-na-ka buru5{muszen} szu ba-ni-ib-ti-...
","A falcon took a small bird at the reed fence 
","The Bigorchardwoods took in charge
"
1170,"ki szabra ...
","from the household manager 
","xxx
"
1171,"... er2-am3 a-nir-am3
"," among tears and laments 
","The lamma protective spirityouth
"
1172,"esz3 dug-ru
","the shrine Dugru 
","the shrine Dugru
"
1173,"... me3-a nu-un-szub kur-re im-ma-an-dab5
","The site of manhood did not fell him in battle the netherworld seized him 
","in battle has not seized the field of manhood but the nether world has seized him
"
1174,"u4 2(u) 3(disz) zal-la-ta
","the completed day 23 
","the completed day 23
"
1175,"szita2 an-na bala sa6-ga nu-kur2-...
","The udugita mace of Anheaven a good reign that will not change 
","The ita mace of heaven and earth ever again
"
1176,"ab-ba dingir-dingir-re2-ne-ke4
","father of all the gods 
","Four breed bulls
"
1177,"ARAD2 i-pi2-iq-{d}iszkur
","servant of IpiqAdad 
","servant
"
1178,"2(gesz2) 2(u) 9(disz) 1(disz) geme2 1(barig)-ta
","149 female workers 1 barig  6 sila3 each 
","684 female workers 1 barig 6 sila3 each
"
1179,"... husz {d}szul-gi-re nu-mu-un-dab5-ba
","The fierce enemy who Shulgi has not yet seized 
","Shulgi the destroyer of the enemy land the establisher of the land
"
1180,"nam-ti-la-ni-sze3
","and for his life 
","for his life
"
1181,"... nig2 U NI me-ri
","My birth motherfather  
","the seeding basket of the plow
"
1182,"iri im-nigin2-nigin2
","he shall be paraded around the town
","City
"
1183,"lu2 ba-nigin-ne-...
","They surrounded the man they  the reservoir 
","Seized runaways
"
1184,"ARAD2-zu
","is your servant
","is your servant
"
1185,"nu-banda3 ur-{d}gesz-bar-e3
","the overseer UrGebare
","the overseer UrGebare
"
1186,"...-ze2-en inim ga-mu-ri-ib-x-du11
","If you are a god I shall speak to you 
","You will repeatedly argue
"
1187,"i3 ga-bi esz3 e2-ninnu-a musz nu-tum2-da
","might never cease to provide fat and milk for the sanctuary Eninnu
","People who did not know butter were churning its butter
"
1188,"nam-lu2-u18
","The population
","the peoples
"
1189,"2(gesz2) 4(u) 4(disz) udu
","164 sheep 
","161 sheep
"
1190,"i-te-ru-ub
","did enter 
","lancet
"
1191,"szunigin 2(szar2) 5(gesz'u) 8(gesz2) 3(u) 5(disz) geme2 u4 1(disz)-sze3
","total 1715 female laborer days 
","total 1179 female laborer workdays
"
1192,"gu3-de2-a en {d}nin-gir2-su-ra
","Gudea before the lord Ningirsu
","Gudea to Lord Ningirsu
"
1193,"ki a-du-ta
","from ADU 
","from Adu
"
1194,"2(disz) u4-da-tusz
","2 jesters 
","2 the jester
"
1195,"szunigin 3(u) 4(disz) dumu 1(disz) ma-na-ta
","total 34 children 1 mina each 
","total 34 children
"
1196,"lugal an-ub-da limmu2-ba
","and king of the four world quarters
","king of the four corners
"
1197,"dumu-ni-me
","being her children 
","being her children
"
1198,"3(ban2) sze-ta 2(disz) sila3 ninda-ta
","were each 3 ban barley 2 sila bread 
","3 ban2 2 sila3 barley each
"
1199,"iri{ki} gul-gul-la-gin7 sahar na-x-x-...
","I will make the people hold dust as if they inhabited a destroyed city 
","The city Dabala
"
1200,"ur-{d}nansze
","of UrNane 
","UrNane
"
1201,"e2-ninnu esz3 giri17-zal-la ...
","In my Eninnu temple a shrine filled with joy 
","Days of Eninnu shrine joy
"
1202,"lagasz{ki}
","of Laga 
","of Laga
"
1203,"lagasz{ki}
","of Laga
","of Laga
"
1204,"hur-sag {gesz}szu-ur2-me-ta
","from the cypress mountain 
","a mountain range
"
1205,"gesz tesz2-tesz2-sze3 e-da-la2
","had previously fought with him 
","May the gadala priest
"
1206,"... x RI-RI
","If he did what is to me If he did not what is it to me 
","Distantremoteundulatingsprinkling at nighttime does not give to mananyone
"
